index,time,L_x,L_y,L_z,C_x,C_y,C_z,F_x,F_y,F_z,confidence,gaze_norm_pos_x,gaze_norm_pos_y,left_gaze,norm_pos_x,norm_pos_y,method,ellipse_center_x,ellipse_center_y,ellipse_axis_a,ellipse_axis_b,ellipse_angle,diameter_3d,model_confidence,model_id,sphere_center_x,sphere_center_y,sphere_center_z,sphere_radius,circle_3d_center_x,circle_3d_center_y,circle_3d_center_z,circle_3d_normal_x,circle_3d_normal_y,circle_3d_normal_z,circle_3d_radius	theta,phi,projected_sphere_center_x,projected_sphere_center_y,projected_sphere_axis_a,projected_sphere_axis_b,index.1,time.1
1,0.0,-15.5,2.5,-4.0,-19.8,2.5,-4.2,1.0,-0.1,0.0,1.0,0.4386727080048302,0.7102918207094507,0.5781665998395769,0.5722291884467534,101.95412135216569,370.0266238973292,205.3299895455584,94.12709939559268,101.95412135216569,75.10889382582175,2.544626704257257,0.858747684967387,16,1.0661761882920011,-5.812013231118357,26.463098286592704,12.0,1.2545902084153642,-0.8291165664261584,15.54818917171592,0.0157011683436135,0.4152413887243499,-0.9095757595730656,1.2723133521286285,1.9990044602302968,-1.553535962371399,344.97928358887384,103.83120508912457,562.2924360122572,562.2924360122572,1,0.0
313,9.956,-9.3,1.2,-5.7,-19.0,1.7,-5.7,1.0,-0.1,0.0,0.5330195975361076,0.477998150372386,0.515847442218653,0.557510026825011,0.6471654996769793,107.92866880865928,356.80641716800704,169.36056015504994,104.65564297110748,107.92866880865928,73.78119479819219,2.5373242072310624,0.5623857492740081,16,1.0736445467803646,-5.866574263833038,25.856758545943467,12.0,0.8660190210477878,-1.629159083227762,14.631732745160637,-0.0173021271443813,0.3531179317171063,-0.9354188167319024,1.2686621036155312,1.931697966512435,-1.589290881391669,345.7441248028461,99.32977495560374,575.4781665134296,575.4781665134296,313,9.956
619,18.66,-16.5,1.3,-8.4,-17.9,1.7,-5.5,0.6,-0.1,-0.8,0.99,0.7851833612111512,0.4291802615793656,0.4499593727003506,0.6618215477571533,123.29474171430796,287.9739985282244,162.32565707656642,115.94795486295249,123.29474171430796,-45.11630828541632,2.662864656991048,0.2200074278732589,19,1.2827652865582837,-5.926894679534256,24.531897061481764,12.0,-0.7164601494961114,-1.6458416286029136,13.50122698070496,-0.1666021196711996,0.3567544209109452,-0.9192225067314004,1.3314323284955238,1.9355877186759969,-1.7500924411827938,352.4196076509257,90.20829444613352,606.5572492297596,606.5572492297596,619,18.66
791,23.504,-9.3,1.0,-3.3,-18.0,1.7,-4.4,1.0,-0.1,0.1,1.0,0.4855569940911755,0.5278022494777339,0.5554249119968455,0.6415565531459394,104.26541833136136,355.4719436779812,172.05285448994908,100.63564271332856,104.26541833136136,-73.92074067917824,2.475329422081349,0.1743796232309247,22,2.524258463229592,-6.043496066830024,25.739064555366262,12.0,0.8283839181618093,-1.5771030068106509,14.731097324273964,-0.1413228787556485,0.3721994216682811,-0.9173306025910252,1.2376647110406744,1.9521739011751609,-1.723653406691137,380.8040841513821,94.4248741684196,578.1095877821135,578.1095877821135,791,23.504
1249,39.064,-15.5,1.8,-4.1,-16.7,1.7,-4.2,1.0,-0.1,0.1,1.0,0.4642357813575595,0.5950046742190824,0.5653070838367615,0.6161651967685517,97.74595378685292,361.7965336555274,184.24070555109515,90.93905085075326,97.74595378685292,61.58106959696526,2.1403685213645263,1.0,27,-0.2369967713393274,-6.012306249737386,24.5815909361998,12.0,0.9268045479828964,-1.195865989695461,13.652388325277489,0.0969834432768519,0.4013700216701604,-0.910766884243526,1.0701842606822631,1.9838084775329767,-1.464710621718035,314.022437416205,88.35685027417298,605.3310397451589,605.3310397451589,1249,39.064
1720,53.568,-10.3,1.6,-0.3,-18.2,1.7,-4.2,0.9,0.0,0.5,1.0,0.63708294126151,0.4728937797802224,0.5018679919655121,0.6519412143389285,102.34170434278349,321.1955148579278,167.0682171173143,99.0113897710501,102.34170434278349,-50.82889284565741,3.59751712469127,1.0,30,1.7794220419989235,-6.447882481286128,33.05699166590923,12.0,0.0218589690124895,-2.5232788243965776,21.85393591398138,-0.1464635894155361,0.3270503047407959,-0.9335879793273208,1.798758562345635,1.90397686138232,-1.7264104072354487,353.37392819011643,119.06681954607188,450.1317043724017,450.1317043724017,1720,53.568
1848,57.028,-17.4,1.7,-0.3,-18.0,1.7,-2.5,0.7,0.0,0.7,0.7961439704860063,0.0152120789428291,0.5144578428084046,0.7104554042660933,0.7108809412686073,109.20048569279496,454.69145873029976,138.77714819106848,99.56909859783823,109.20048569279496,25.48123905890717,2.85260697527652,0.374549025766524,30,1.6211126463509755,-5.613816183087113,28.073056271660395,12.0,3.62581432308541,-2.681587361711655,16.61080495150547,0.1670584730612029,0.2443524017812882,-0.95518761001291,1.42630348763826,1.817648120198515,-1.3976515912498606,355.8026511617204,116.0175593340144,530.0456015906356,530.0456015906356,1848,57.028
2312,67.776,-23.4,0.2,-4.1,-21.7,1.7,-3.6,-0.9,-0.4,-0.2,0.2367536061184799,0.4616231454275357,0.2608599073568542,0.5516926275961798,0.7552934775981572,111.6799196497032,353.083281661555,117.45913075288452,108.80501162757788,111.6799196497032,17.016908547290043,3.3915101002213714,1.0,32,2.810125172095945,-5.551860114572285,30.946515632009447,12.0,1.0030479611740026,-3.775229954703822,19.217148333266845,-0.1505897675768285,0.1480525133223718,-0.977447274895217,1.6957550501106855,1.71939511984867,-1.7236587878717398,376.2996373296826,128.77089388782645,480.8295763226058,480.8295763226058,2312,67.776
2763,77.679,-18.3,0.8,-8.4,-19.3,1.7,-6.2,0.5,-0.2,-0.8,0.2985588747543509,0.6652109049334443,0.3394092506552657,0.4867201414424748,0.7056316838771373,122.74776956479612,311.50089052318384,141.29679173897415,120.3294402620614,122.74776956479612,4.144535069620957,7.177403310128823,1.0,35,0.8164408739841474,-7.192421995419785,48.52668657881319,12.0,-0.54198241424293,-5.798590066833125,36.685575198336494,-0.1132019406855897,0.116152660715555,-0.9867592817063912,3.5887016550644115,1.6872117637982826,-1.6850179155750589,330.4312364506497,148.10619987585957,306.6354010351209,306.6354010351209,2763,77.679
3034,85.112,-17.5,0.6,-7.6,-17.6,1.7,-6.4,-0.1,-0.2,-1.0,0.1105757019208565,0.3162355905013521,0.2372456935823625,0.5973354782248463,0.782168850070988,196.89254279506287,382.2947060639017,104.55895196592576,194.6019109701976,196.89254279506287,19.82929108584712,0.8035243730596324,0.1617687799722267,35,2.3501908113813963,-4.79894410270778,13.58345241783946,12.0,0.2465548217515016,-0.5375633535645266,2.5645890584014666,-0.1753029991358245,0.3551150624286043,-0.9182386132864994,0.4017621865298162,1.9338334759629456,-1.759438590427998,427.2715726631323,20.95809134861517,1095.4505189312367,1095.4505189312367,3034,85.112
