index,time,L_x,L_y,L_z,C_x,C_y,C_z,F_x,F_y,F_z,confidence,gaze_norm_pos_x,gaze_norm_pos_y,left_gaze,norm_pos_x,norm_pos_y,method,ellipse_center_x,ellipse_center_y,ellipse_axis_a,ellipse_axis_b,ellipse_angle,diameter_3d,model_confidence,model_id,sphere_center_x,sphere_center_y,sphere_center_z,sphere_radius,circle_3d_center_x,circle_3d_center_y,circle_3d_center_z,circle_3d_normal_x,circle_3d_normal_y,circle_3d_normal_z,circle_3d_radius	theta,phi,projected_sphere_center_x,projected_sphere_center_y,projected_sphere_axis_a,projected_sphere_axis_b,index.1,time.1
1,0.0,-15.5,2.5,-5.2,-19.8,2.0,-4.2,1.0,0.0,0.0,0.2288892845797262,0.9849960556978172,0.650622574575653,0.4781013485635207,0.4556499022687125,135.35368231423269,305.98486308065327,261.288046911018,111.6151437061482,135.35368231423269,-50.86995238946602,3.5638862227567785,1.0,28,3.6228395602230594,-4.2869451552450695,26.524554853084656,12.0,-0.4239179039377165,0.6269916975569299,16.35219137978439,-0.3372297886800646,0.4094947377334998,-0.8476969561083554,1.7819431113783892,1.9926964942140024,-1.9494209488474128,404.682308139738,139.79451074773291,560.9896219717158,560.9896219717158,1,0.0
222,10.9,-9.3,1.3,-4.6,-18.4,1.7,-4.2,1.0,0.0,0.0,0.997377986603702,0.4938114744274871,0.490899806558563,0.6631514581829854,0.524287480876727,156.07850416894095,424.4169332371106,228.342009179171,152.09652560999112,156.07850416894095,84.25520292767145,4.020914505965304,0.5117816173154766,37,4.470674277713123,-2.3002615968579923,27.89418630333332,12.0,2.6906478774756053,-0.2631750262801726,16.203087795561302,-0.1483355333531265,0.1697572142148183,-0.974258208981001,2.010457252982652,1.7413796291968493,-1.721890769761295,419.3690234244585,188.87242185367023,533.4444904823004,533.4444904823004,222,10.9
392,17.6,-17.3,1.9,0.4,-18.6,1.7,-0.8,1.0,0.0,0.0,0.1490808277964596,-0.052863921102233,0.5581040109868725,0.8420835743729596,0.587810062521062,204.36841619290843,538.9334875986941,197.85116998989025,192.68345507279744,204.36841619290843,55.42987279827225,3.1719204527060554,1.0,40,4.081692584375551,-2.7174239568327025,21.77722694186401,12.0,3.50701848709189,-0.634391967752415,9.973383185935203,-0.0478895081069717,0.1735859990900239,-0.9836536463274004,1.5859602263530277,1.745266114564057,-1.619443251565782,436.2062281422977,162.63464683846172,683.282588720929,683.282588720929,392,17.6
748,31.5,-14.1,1.5,0.4,-15.5,1.7,-0.8,0.8,0.0,0.6,1.0,0.4753173741179655,0.391464268389264,0.6638048693494106,0.5631733191988315,149.46824902946307,424.8351163836228,209.6768067845609,145.74526500897898,149.46824902946307,80.97825951100674,2.834989786103872,1.0,40,3.949818358063749,-2.8924286462061244,23.542042209886446,12.0,1.989969595889853,-0.5515261094146773,11.936906788761505,-0.1633207301811579,0.1950752113992872,-0.9670946184270788,1.417494893051936,1.7671304610165393,-1.7380955209362885,424.0218754246867,163.82539523717696,632.0607136517309,632.0607136517309,748,31.5
844,34.8,-16.8,1.3,0.4,-18.1,1.7,-0.8,0.8,0.0,0.6,1.0,0.4415073995328855,0.3436432497910946,0.6718013787753072,0.5847760674049098,152.04321861429833,429.95288241619664,199.30748764564328,148.1520560758132,152.04321861429833,72.65567086198959,2.5503527150216714,1.0,42,3.5783060315803583,-2.9700771447160146,22.23416800237296,12.0,1.8540854751178608,-0.6654670451401792,10.58445402469929,-0.1436850463718748,0.1920508416313196,-0.9708094981394724,1.2751763575108357,1.7640477899506075,-1.7177349951396674,419.78109994235206,157.17936872981264,669.2402431434323,669.2402431434323,844,34.8
1125,46.9,-9.3,1.4,-3.2,-17.0,1.7,-2.5,1.0,0.0,0.0,0.0,0.9569773273783064,0.532196325488965,0.5,0.5,0.0,320.0,240.0,0.0,0.0,90.0,0.0,1.0,46,2.531825869757424,0.5151574769650399,11.718552839506506,12.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,453.95272101838367,267.2557234747917,1269.781363261458,1269.781363261458,1125,46.9
1231,51.7,-9.3,2.0,-2.6,-12.2,1.7,-2.2,1.0,0.0,0.0,0.9268998753162564,0.671820316245809,0.6423719401238885,0.6064714896565624,0.4585777978463483,144.82657628435337,388.14175338019993,259.8826570337528,144.50895046403022,144.82657628435337,-44.09189374935178,9.820573149600333e-08,1.0,46,2.531825869757424,0.5151574769650399,11.718552839506506,12.0,4.508146256299028e-08,1.3258200204369077e-08,4.211789317309922e-07,-0.2109854853896634,-0.0429297886422366,-0.9765460348606312,4.910286574800167e-08,1.52785334084254,-1.7835785339679449,453.95272101838367,267.2557234747917,1269.781363261458,1269.781363261458,1231,51.7
1272,53.2,-9.3,1.8,-4.3,-12.3,1.7,-3.2,1.0,0.0,0.0,0.0,0.9569773273783064,0.532196325488965,0.5,0.5,0.0,320.0,240.0,0.0,0.0,90.0,0.0,1.0,46,2.531825869757424,0.5151574769650399,11.718552839506506,12.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,453.95272101838367,267.2557234747917,1269.781363261458,1269.781363261458,1272,53.2
1347,58.3,-9.3,1.8,-4.1,-11.5,1.7,-3.5,1.0,0.0,0.0,0.0,0.9569773273783064,0.532196325488965,0.5,0.5,0.0,320.0,240.0,0.0,0.0,90.0,0.0,1.0,46,4.224968058305334,-2.059983594066889,24.34307102751815,12.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,427.60680906645536,187.53374268687395,611.2622348749339,611.2622348749339,1347,58.3
1440,63.0,-9.3,1.7,-4.0,-12.2,1.7,-3.7,1.0,0.0,0.0,0.2495065238850931,0.6487515890501725,0.4886200007838136,0.6112664261121494,0.5159368706519712,115.95374878430394,391.21051271177566,232.3503020870538,113.67700618330127,115.95374878430394,-60.3560907923432,2.389156177162856,0.3384833686198463,46,4.224968058305334,-2.059983594066889,24.34307102751815,12.0,1.4476134776059482,-0.1410916398918837,12.827683270205304,-0.2314462150582821,0.159907662847917,-0.959615646442737,1.194578088581428,1.7313934382001877,-1.8074627626205235,427.60680906645536,187.53374268687395,611.2622348749339,611.2622348749339,1440,63.0
