index,time,L_x,L_y,L_z,C_x,C_y,C_z,F_x,F_y,F_z,confidence,gaze_norm_pos_x,gaze_norm_pos_y,left_gaze,norm_pos_x,norm_pos_y,method,ellipse_center_x,ellipse_center_y,ellipse_axis_a,ellipse_axis_b,ellipse_angle,diameter_3d,model_confidence,model_id,sphere_center_x,sphere_center_y,sphere_center_z,sphere_radius,circle_3d_center_x,circle_3d_center_y,circle_3d_center_z,circle_3d_normal_x,circle_3d_normal_y,circle_3d_normal_z,circle_3d_radius	theta,phi,projected_sphere_center_x,projected_sphere_center_y,projected_sphere_axis_a,projected_sphere_axis_b,index.1,time.1
1,0.0,-15.5,1.9,-4.1,-19.8,2.0,-4.2,1.0,-0.1,0.0,1.0,0.4958384523563082,0.5630083462907218,0.4340114021697799,0.6270067899657953,102.78148758969866,277.7672973886592,179.03674081641827,101.57521886678484,102.78148758969866,-82.38083357762238,0.6302822226978547,1.0,11,-1.2929779982058618,-3.498885655220307,15.349649889624343,12.0,-0.2573431676542059,-0.3680618194787755,3.8116516833798606,0.0863029025459713,0.2609019863117943,-0.9614998505203736,0.3151411113489273,1.8347527590481545,-1.4812775953690858,267.7742903159302,98.67370774997656,969.4032181188832,969.4032181188832,1,0.0
139,9.6,-15.3,1.2,-3.4,-19.2,1.7,-2.2,1.0,0.0,-0.3,0.3876760418057068,0.459637688257007,0.3012546884462055,0.4345293003711619,0.7356263265039383,105.25887453708556,278.09875223754364,126.8993632781096,103.28872320334786,105.25887453708556,-18.270941890392976,3.2383710589449595,0.6481860206435153,20,-2.693593772016926,-5.822104508905393,31.1173214915554,12.0,-1.296953697730029,-3.5168141038906344,19.423945903153097,0.1163866728572413,0.1921075337512298,-0.9744479657001914,1.6191855294724795,1.764105557739686,-1.451920896344295,266.33123743945293,123.99693088941017,478.1902582469422,478.1902582469422,139,9.6
189,12.0,-15.5,1.1,-3.5,-18.3,1.7,-2.4,1.0,0.0,-0.3,0.2558250900333518,0.5659001381287503,0.2128967747094319,0.3956089107618844,0.7620876434550182,104.55859379114716,253.18970288760605,114.19793114159124,101.97853580203846,104.55859379114716,-26.064022384301467,3.088996971813847,1.0,20,-2.6397340515023826,-5.827224756343318,30.579616878340868,12.0,-2.015785001984601,-3.786649353356065,18.770859974740503,0.0519957541264817,0.1700479502489377,-0.9840630753000305,1.5444984859069235,1.7416746546475566,-1.5180075895154044,266.47954163576577,121.85334815323304,486.5986404996233,486.5986404996233,189,12.0
400,20.5,-17.5,0.5,-7.6,-18.2,1.7,-6.6,0.2,-0.1,-1.0,0.1605867772113459,0.3293485138745791,0.1812389356693184,0.4703905085821557,0.8031621291490272,158.1466914781609,301.0499254925797,94.48217800846696,155.02800481038105,158.1466914781609,-2.4693551027121146,3.0233382066864,1.0,25,-1.2162788269568083,-6.82569280631167,23.358437926925923,12.0,-0.3563147348395321,-2.7738492665092656,12.095977019591752,0.0716636743431063,0.3376536283168669,-0.938538408944514,1.5116691033432,1.9152193351589528,-1.4945875278025664,287.71646823848795,58.8265177169672,637.028899216219,637.028899216219,400,20.5
449,22.2,-17.5,0.4,-7.6,-18.0,1.7,-7.2,0.4,-0.4,-0.9,0.2086899596805193,0.3803871185573859,0.163094395819646,0.4532671702930899,0.8039610086417937,155.66941222843334,290.09098898757753,94.09871585193906,152.4279097838352,155.66941222843334,-14.016541896404064,2.9675879097215594,1.0,25,-1.2162788269568083,-6.82569280631167,23.358437926925923,12.0,-0.5724993287603547,-2.779824250248346,12.07940890910883,0.0536482915163711,0.3371557130052769,-0.9399190848180908,1.4837939548607797,1.9146904031060223,-1.5137806254796098,287.71646823848795,58.8265177169672,637.028899216219,637.028899216219,449,22.2
646,31.3,-16.7,0.4,-8.4,-16.8,1.7,-7.0,-0.1,-0.3,-0.9,0.9278712874580854,0.4041226313842865,0.222384637388938,0.4486324996268321,0.7753245721559606,139.86298102180845,287.1247997611726,107.84420536513892,136.44045918827476,139.86298102180845,-66.45809009666792,1.7919412329677584,0.5284758245975962,27,-0.6871640824532035,-7.189719282194081,18.63947814365257,12.0,-0.4207512827413012,-1.6582722584879424,7.993722273631779,0.0222010666426585,0.4609539186421782,-0.8871463225017328,0.8959706164838792,2.049866155463454,-1.5457762897986498,297.1430440360226,0.8502812897518766,798.3056116336169,798.3056116336169,646,31.3
668,32.6,-16.9,0.4,-8.4,-16.8,1.7,-7.7,-0.1,-0.3,-0.9,0.7548287498087375,0.5297790248246077,0.1251330291404797,0.4030258011979203,0.8030694962500947,148.4466982950823,257.936512766669,94.52664179995452,141.62573771543308,148.4466982950823,-46.55117169477185,1.851318293093452,0.7072689205714133,27,-0.6871640824532035,-7.189719282194081,18.63947814365257,12.0,-0.7908887151264973,-1.808445139366671,7.914221512675674,-0.0086437193894411,0.4484395119022841,-0.8937713859147415,0.925659146546726,2.0358150223999942,-1.580467088311741,297.1430440360226,0.8502812897518766,798.3056116336169,798.3056116336169,668,32.6
915,41.8,-23.4,0.4,-6.5,-21.0,1.7,-6.2,-1.0,0.0,0.2,0.0252354832734617,0.1514634576949154,0.0113995921781033,0.5169594337578507,0.9124495191665944,333.45366036086205,330.8540376050245,42.02423080003473,322.4061812927453,333.45366036086205,1.3013896348793563,1.1242720338631202,1.0,31,0.4747352497900525,-5.760167088727877,13.014215980738156,12.0,0.0327782547724593,-0.62992009880087,2.175155143336241,-0.0368297495847994,0.4275205824939172,-0.9032550697834928,0.5621360169315601,2.012544617783884,-1.6115482258152378,342.61648763978314,-34.41557757278912,1143.3650726269889,1143.3650726269889,915,41.8
1006,45.1,-21.7,1.2,0.4,-21.2,1.7,-4.4,-0.2,0.0,1.0,1.0,0.6604878777126373,0.3926970789764572,0.3724592490651237,0.6806277637589291,134.9396562489929,238.3739194016792,153.29867339571402,120.75993382431696,134.9396562489929,-65.25837744219382,2.9808986240027493,0.6119335754501187,31,-1.3740407075635377,-8.043916022172061,24.20477325503926,12.0,-1.832865322020672,-1.870970712708024,13.924489884453884,-0.0382353845380945,0.5144121091220031,-0.8566902808821146,1.4904493120013746,2.1111182824030768,-1.6153982415726813,284.8042462652678,33.956841437943524,614.7547776305688,614.7547776305688,1006,45.1
1066,47.3,-22.5,3.2,0.4,-21.0,1.7,-5.4,-0.2,0.2,1.0,1.0,0.4770316652000317,0.589353852495454,0.44116317438816,0.6186681233356441,121.97678352938078,282.3444316084224,183.03930079889085,106.8518098241568,121.97678352938078,-86.83216000547648,2.5523252715901195,0.4282225536524353,31,-1.2011670803235337,-7.861882028150572,22.948066801402177,12.0,-0.7847708609035257,-1.134519204204281,13.019864364735302,0.0346996849516673,0.5606135686621909,-0.827350203055573,1.2761626357950595,2.165922896671592,-1.5288801462161743,287.54743672983005,27.591394968594017,648.4206329350061,648.4206329350061,1066,47.3
