index,time,L_x,L_y,L_z,C_x,C_y,C_z,F_x,F_y,F_z,confidence,gaze_norm_pos_x,gaze_norm_pos_y,norm_pos_x,norm_pos_y,diameter,ellipse_center_x,ellipse_center_y,ellipse_axis_a,ellipse_axis_b,ellipse_angle,diameter_3d,model_confidence,model_id,sphere_center_x,sphere_center_y,sphere_center_z,sphere_radius,circle_3d_center_x,circle_3d_center_y,circle_3d_center_z,circle_3d_normal_x,circle_3d_normal_y,circle_3d_normal_z,circle_3d_radius,theta,phi,projected_sphere_center_x,projected_sphere_center_y,projected_sphere_axis_a,projected_sphere_axis_b,index.1,time.1
1,0.0,-15.5,2.0,-4.2,-19.8,2.0,-4.2,1.0,0.1,0.0,0.24857856,0.528752201,0.297655452,0.511777552,0.403395139,120.5724187,327.5376335,286.3703333,120.1652213,120.5724187,13.94559106,3.776193895,1.0,19,0.999398148,2.875075339,31.34339309,12,0.2247715,1.433030011,19.45556491,-0.064552221,-0.120170444,-0.990652348,1.888096947,1.450334758,-1.635865662,339.7689781,296.8715297,474.7411985,474.7411985,1,0.0
784,27.95,-15.9,1.1,-4.3,-16.8,1.7,-4.4,0.9,-0.5,-0.1,0.314517502,0.438670461,0.457378535,0.554599289,0.320296576,116.1089543,354.9435452,326.2576434,114.6378757,116.1089543,-36.20969237,2.878962065,1.0,30,2.052553818,2.590344877,27.44356057,12,0.860926641,2.152905443,15.51088814,-0.099302265,-0.036453286,-0.994389369,1.439481032,1.534334962,-1.670328895,366.3709278,298.520607,542.203697,542.203697,784,27.95
1017,36.26,-18.6,2.0,0.4,-18.3,1.7,-3.6,0.3,-0.1,1.0,0.053840077,-0.096670282,0.722800834,0.755241069,0.258339127,156.2228873,483.3542844,355.9972188,151.1875915,156.2228873,-63.43402917,0.23177498,1.0,33,1.715876435,0.48388025,12.85458234,12,0.24816382,0.177080947,0.948630308,-0.122309385,-0.025566609,-0.99216267,0.11588749,1.545226932,-1.693453028,402.7598564,263.3384288,1157.563863,1157.563863,1017,36.26
1056,37.67,-16.6,1.1,-0.3,-17.7,1.7,-1.9,0.5,-0.1,0.9,0.187353806,0.57700169,0.33828655,0.492679013,0.378683993,66.84885463,315.3145685,298.2316832,65.66875683,66.84885463,1.919152055,1.545023515,1.0,35,1.74651674,2.487816197,26.19313449,12,-0.115087108,1.347851337,14.39335012,-0.155133654,-0.094997072,-0.983315364,0.772511757,1.475655789,-1.727272519,361.3406185,298.8874173,568.0877944,568.0877944,1056,37.67
1294,46.14,-9.3,0.6,-6.2,-14.2,1.7,-2.5,0.9,0.1,-0.3,0.021813682,1.455282162,-0.201342292,0.545878093,1.563246006,1162.322549,349.3619795,-270.3580828,1084.198951,1162.322549,41.38015927,1.401394042,1.0,37,1.004214945,-0.688809362,12.73311168,12,-0.017026174,-0.632686093,0.77677793,-0.085103427,0.004676939,-0.996361146,0.700697021,1.575473283,-1.656003752,368.8971809,206.460531,1168.60673,1168.60673,1294,46.14
1332,47.46,-9.3,2.3,-3.1,-12.4,1.7,-2.0,0.9,0.2,-0.3,1.0,0.501905426,0.517042738,0.531365654,0.286974669,116.2947044,340.0740183,342.2521589,114.3633061,116.2947044,-52.57702689,5.85e-08,1.0,37,1.046082334,-0.366368254,11.94870259,12,9.91e-09,5.18e-08,3.13e-07,-0.087173527,0.030530692,-0.99572519,2.92e-08,1.601331764,-1.658121454,374.2796209,220.9897087,1245.323489,1245.323489,1332,47.46
1454,53.76,-9.3,1.8,-4.8,-10.8,1.7,-4.4,1.0,0.1,0.1,0.131847705,0.756304988,0.468527594,0.431063265,0.301575247,75.76172291,275.8804899,335.2438812,73.9144621,75.76172291,-27.92735413,0.112149623,1.0,37,1.35128695,0.000825179,12.8363179,12,-0.065945103,0.141535894,0.921132054,-0.118102671,0.011725893,-0.992932154,0.056074811,1.582522488,-1.689183467,385.267775,240.0398565,1159.210929,1159.210929,1454,53.76
1560,57.58,-13.3,0.8,-7.6,-12.6,1.7,-5.6,-0.3,-0.3,-0.9,0.238119636,0.570792692,0.411734819,0.499872571,0.337338111,90.4400163,319.9184453,318.0777067,88.68211905,90.4400163,-12.24020218,3.171601871,1.0,39,1.780887763,3.58786475,33.73705709,12,-0.019872675,2.749926628,21.90256844,-0.15006337,-0.069828177,-0.986207387,1.585800935,1.500911278,-1.721800107,352.7281188,305.9356902,441.0580318,441.0580318,1560,57.58
1610,59.36,-13.1,0.9,-7.7,-12.0,1.7,-5.9,-0.5,-0.1,-0.8,0.042306153,0.466034001,0.264100207,0.541680086,0.422920082,135.4930502,346.6752551,276.9983605,135.3695655,135.4930502,33.90209232,3.363013001,1.0,39,1.793176519,2.342439659,27.24927242,12,0.644685061,0.896394898,15.39221031,-0.095707622,-0.12050373,-0.988088509,1.6815065,1.449999032,-1.667356484,360.799968,293.2972978,546.069626,546.069626,1610,59.36
1921,70.63,-17.5,1.0,-8.4,-12.6,1.7,-6.4,-0.9,-0.1,-0.4,0.947315576,0.685517901,0.469033734,0.458426363,0.302903493,128.4617043,293.392872,334.6063233,123.3944212,128.4617043,-29.88969067,1.562878439,1.0,42,1.836942926,0.798074034,19.37834762,12,-0.339659789,1.159050001,7.582920669,-0.18138356,0.030081331,-0.982952246,0.781439219,1.600882196,-1.753273,378.772019,265.5339573,767.8673276,767.8673276,1921,70.63
