index,time,L_x,L_y,L_z,C_x,C_y,C_z,F_x,F_y,F_z,confidence,gaze_norm_pos_x,gaze_norm_pos_y,left_gaze,norm_pos_x,norm_pos_y,method,ellipse_center_x,ellipse_center_y,ellipse_axis_a,ellipse_axis_b,ellipse_angle,diameter_3d,model_confidence,model_id,sphere_center_x,sphere_center_y,sphere_center_z,sphere_radius,circle_3d_center_x,circle_3d_center_y,circle_3d_center_z,circle_3d_normal_x,circle_3d_normal_y,circle_3d_normal_z,circle_3d_radius	theta,phi,projected_sphere_center_x,projected_sphere_center_y,projected_sphere_axis_a,projected_sphere_axis_b,index.1,time.1
1,0.0,-16.2,0.1,-4.9,-19.8,2.5,-4.2,1.0,-0.1,0.0,0.1074304635240091,0.7992888676469967,-0.3148998783847849,0.3811578344429001,0.9289758514728546,139.86516810817312,243.94101404345605,34.09159129302984,132.6778120297919,139.86516810817312,44.37049938546563,4.332588695859939,0.793963851880719,8,-1.0192740417404662,-5.745469260587435,31.211702707624017,12.0,-2.396078881587775,-6.425507290589519,19.310360064429343,-0.1147337366539423,-0.056669835833507,-0.991778553599556,2.166294347929969,1.5140961147933572,-1.685969195531883,299.7527897853287,125.87002205765336,476.7442564536953,476.7442564536953,1,0.0
473,15.956,-9.3,1.1,-4.0,-17.1,1.7,-4.3,1.0,-0.1,0.1,0.99,0.530828815309734,0.48636772335667,0.480679734302278,0.6564407492375492,115.26432919827973,307.63502995345794,164.90844036597633,113.69691006402375,115.26432919827973,58.84989080749297,0.4609768954804764,0.0106492284041359,12,-1.2187861421865058,-3.83489747431165,13.88812745214928,12.0,-0.0474790165254892,-0.2943929580887068,2.4823014238433654,0.097608927138418,0.2950420430185786,-0.9504855023588262,0.2304884477402382,1.870295846956428,-1.468461305705023,265.59040369127,68.80079101626706,1071.418738866572,1071.418738866572,473,15.956
936,30.459,-9.3,1.0,-6.6,-15.4,1.7,-6.3,1.0,-0.1,0.0,0.3061978367155649,0.7740233214202252,0.4190718969369006,0.3522594077135131,0.6754381224974236,141.35972222145992,225.44602093664844,155.78970120123665,135.1271249957298,141.35972222145992,-30.670638308551943,3.2864638081219613,1.0,17,-1.2381893216230613,-4.480832646796796,26.35596429504609,12.0,-2.250791072445636,-1.95333412635865,14.668946329653288,-0.0843834792352145,0.2106248767031788,-0.9739181637827332,1.6432319040609806,1.783010458851985,-1.6572237814810509,290.87272653687,134.592502482021,564.5780906903441,564.5780906903441,936,30.459
1171,37.716,-9.3,2.4,-6.1,-11.3,1.7,-6.5,0.9,0.0,0.4,0.0764727187092197,0.6854695348792212,0.7845811148861167,0.4488281166723035,0.5456074181626858,191.49787632757216,287.24999467027425,218.1084392819108,183.07053474379967,191.49787632757216,-69.3661074396129,3.116658484193317,1.0,19,0.0365286726165638,-3.893477754423405,21.551275709733883,12.0,-0.5444848185478341,-0.2878845353872612,10.120522416012356,-0.0484177909303664,0.3004661015863453,-0.9525627744767938,1.5583292420966586,1.8759776256005087,-1.6215815974219372,321.0508787195387,127.9901013631309,690.4463661647313,690.4463661647313,1171,37.716
1516,47.964,-9.3,1.3,-1.6,-11.3,1.7,-3.1,0.5,0.0,0.9,0.0140446645311864,0.5301310019452607,-0.5126215128742682,0.533276078438182,1.130664630733951,237.0711073950993,341.2966902004365,-62.71902275229644,215.96533531416765,237.0711073950993,-24.46012618273518,3.0942443526882224,0.3742182635975255,22,-1.8856906534798623,-5.042038175375178,20.28053834178396,12.0,0.3435205952031337,-4.135752930270428,8.524294712832976,0.1857676040569164,0.0755237704253958,-0.9796869690792488,1.5471221763441112,1.6463920780448238,-1.3834017954200342,262.35221050573585,85.85894042605435,733.7083340308951,733.7083340308951,1516,47.964
1877,58.976,-16.8,1.8,-0.3,-15.8,1.7,-2.5,-0.3,0.0,0.9,1.0,0.3797698712985689,0.5719603485971918,0.5409692420638091,0.6417052516435664,130.57365057262004,346.22031492083784,171.98147921108813,123.52955714923591,130.57365057262004,41.12892065192582,2.8153031517259777,0.7447784276698455,22,-1.6143125651159558,-5.205285351396067,24.63168994930072,12.0,0.5934968646600898,-1.431023678509851,13.456694363334073,0.1839841191480038,0.3145218060738513,-0.9312496321638876,1.4076515758629888,1.8907491791729203,-1.375741360346391,279.3664181210471,108.97866429350772,604.099841733451,604.099841733451,1877,58.976
1907,59.864,-16.5,1.8,-0.3,-16.0,1.7,-1.8,-0.3,0.0,0.9,1.0,0.505562382284964,0.5655273530526541,0.4945303843735166,0.6306617558266043,126.83982043983691,316.49944599905064,177.28235720322994,122.76411312964277,126.83982043983691,58.13163743282574,2.7344597971749947,0.8115361380903297,22,-1.6143125651159558,-5.205285351396067,24.63168994930072,12.0,-0.0585365565695676,-1.3101678892967712,13.388575569037544,0.129648000712199,0.324593121841608,-0.9369261983552648,1.367229898587497,1.901377852846809,-1.4332936242871908,279.3664181210471,108.97866429350772,604.099841733451,604.099841733451,1907,59.864
1935,60.688,-17.3,1.7,-0.3,-16.8,1.7,-2.1,-0.3,0.0,0.9,1.0,0.5206200603069586,0.5197960826300807,0.4863653975484993,0.6454796990915463,130.66472193212834,311.2738544310396,170.16974443605778,127.67791815068844,130.66472193212834,57.2221788959786,2.810510795200425,0.7177047596551356,22,-1.6113218166187386,-5.185225705339404,24.672419305188097,12.0,-0.1710261612941819,-1.4592394480700204,13.356829402938503,0.120024637943713,0.3104988547724486,-0.942965825187466,1.4052553976002125,1.8865141076244685,-1.444192922978682,279.5086515859616,109.69903933845612,603.1025906272209,603.1025906272209,1935,60.688
2182,68.6,-17.2,1.5,0.4,-17.1,1.7,-0.8,0.3,0.0,1.0,1.0,0.3102811298117167,0.435044385893339,0.5604247943918471,0.7040773217579879,128.4475523232665,358.67186841078217,142.04288555616586,121.49770811922689,128.4475523232665,17.53409907037799,3.1323926688514945,0.1566383605308141,27,-1.5552695206893412,-5.108356277224164,26.74751681767849,12.0,0.9880919651330032,-2.3867888692142367,15.340309306806535,0.2119467904851953,0.2267972840008273,-0.9506006259059968,1.5661963344257472,1.7995843383875376,-1.3514235552258196,283.9492851093351,121.58972238553127,556.3133243892464,556.3133243892464,2182,68.6
2498,76.348,-19.5,1.5,-8.3,-18.8,1.7,-3.4,-0.2,0.0,-1.0,0.7271778344615983,0.3304899273771706,0.5007834510836962,0.555674029535562,0.6752254689892826,140.32448261366798,355.63137890275965,155.89177488514434,134.37645573094127,140.32448261366798,26.231539530396983,3.0091105285661968,0.1620540734293074,27,-1.2215320358489483,-4.699165462321655,24.907256076862044,12.0,0.7988478427198455,-1.7826661788079226,13.443744526052743,0.1683649898807328,0.2430416069594776,-0.9552926292341084,1.5045552642830984,1.816296578180644,-1.3963434794969862,289.5932036877439,123.02675422581184,597.4162691418663,597.4162691418663,2498,76.348
2615,79.512,-15.5,2.1,-4.7,-18.1,1.7,-3.5,0.9,-0.1,-0.4,0.180922510002889,0.5150428875096562,0.7276623625595933,0.5010541773064435,0.573922008283004,140.08456027529002,320.67467347612387,204.5174360241581,134.34738947858713,140.08456027529002,69.72992343588106,3.2956350294836705,0.2315318686138434,27,-1.1012710761552114,-4.6504466692180095,25.900901636913343,12.0,0.0324116116081243,-0.7778102588498639,14.599687065171215,0.0944735573136113,0.3227197008640121,-0.9417678809785108,1.6478175147418352,1.899397857579321,-1.4708156847616434,293.6384440670151,128.68044150223756,574.4973749791544,574.4973749791544,2615,79.512
2646,80.504,-15.5,2.5,-5.3,-18.5,1.7,-4.5,0.9,0.0,-0.3,1.0,0.4221264658142374,0.8720271808169251,0.5405447745967754,0.5325106196926406,142.3067891825226,345.94865574193625,224.39490254753247,131.02375719408653,142.3067891825226,61.5088390239729,3.4014171377844136,0.3835292071677654,27,-1.1012710761552114,-4.6504466692180095,25.900901636913343,12.0,0.6464512696855125,-0.3081670320034151,14.851463906690125,0.1456435288200603,0.3618566364345495,-0.9207864775186018,1.7007085688922068,1.941055051990992,-1.413922999377848,293.6384440670151,128.68044150223756,574.4973749791544,574.4973749791544,2646,80.504
2851,86.832,-9.3,1.4,-3.3,-16.6,1.7,-3.8,1.0,0.0,0.0,0.2242169275954305,0.3930297270529959,0.4541766452049045,0.5325387507024011,0.6836298727277921,119.498116966183,340.8248004495367,151.8576610906598,116.15214617940192,119.498116966183,16.95794578123379,4.182545891023652,1.0,29,-0.975580845185998,-5.455147341347457,33.56618397023864,12.0,0.7643288423132252,-3.078160706088824,21.933357623423856,0.1449924739582686,0.1980822196048861,-0.9694021955678988,2.0912729455118257,1.7701973107736642,-1.4223279651234215,301.980074811256,139.2381333953769,443.3032963530591,443.3032963530591,2851,86.832
3167,97.216,-15.5,2.7,-5.7,-16.7,1.7,-4.9,1.0,0.0,-0.1,0.9772589086569496,0.8180657354871492,0.8504879057266936,0.4160988188861087,0.5194160305768853,130.74280192329135,266.3032440871096,230.68030532309504,120.5398549122889,130.74280192329135,-83.32483164866798,3.020949382269874,0.2420896936775496,33,-1.672853002521037,-4.819677911543245,25.44182986562788,12.0,-1.2391167264102734,-0.1592893926623482,14.392275499235147,0.0361446896758969,0.3883657099067413,-0.9207961971993944,1.510474691134937,1.96965375485812,-1.5315627348811631,279.233716008601,122.54774436669372,584.8635919110127,584.8635919110127,3167,97.216
