index,time,L_x,L_y,L_z,C_x,C_y,C_z,F_x,F_y,F_z,confidence,gaze_norm_pos_x,gaze_norm_pos_y,left_gaze,norm_pos_x,norm_pos_y,method,ellipse_center_x,ellipse_center_y,ellipse_axis_a,ellipse_axis_b,ellipse_angle,diameter_3d,model_confidence,model_id,sphere_center_x,sphere_center_y,sphere_center_z,sphere_radius,circle_3d_center_x,circle_3d_center_y,circle_3d_center_z,circle_3d_normal_x,circle_3d_normal_y,circle_3d_normal_z,circle_3d_radius	theta,phi,projected_sphere_center_x,projected_sphere_center_y,projected_sphere_axis_a,projected_sphere_axis_b,index.1,time.1
1,0.0,-16.2,0.7,-4.9,-19.8,2.0,-4.2,1.0,-0.1,0.0,0.2112471893530104,0.7748912226501192,0.2466467634997204,0.4937326834178476,0.4808726757230125,107.27640157720072,315.9889173874225,249.181115652954,103.66185097169856,107.27640157720072,-15.910387401916296,3.84855074067566,1.0,8,2.700255812608941,-0.3398454422329499,33.87813718593894,12.0,-0.182621264314267,0.3384396363641405,22.249338919931255,-0.2402397564102673,0.0565237565497575,-0.9690665221673068,1.92427537033783,1.6273502249885978,-1.8138054831729609,369.4170796531398,233.78052656709,439.2213160461466,439.2213160461466,1,0.0
56,3.0,-15.3,1.3,-4.4,-17.1,1.7,-4.2,1.0,-0.1,0.0,0.3373711968244446,0.578346700927279,0.4449675146305016,0.5621262653216574,0.4086034854241653,107.15315186449652,359.7608098058608,283.87032699640065,102.27555392643876,107.15315186449652,-41.49198608960279,3.2691743525563743,0.1904939831586571,10,4.458934336830784,-0.0831110575598885,30.460657474011743,12.0,1.1815102691081094,1.360193049219916,19.007476049810663,-0.2731186723102229,0.1202753422316503,-0.9544317853500902,1.6345871762781872,1.6913635602087873,-1.849506533555245,410.7577024952176,238.30834722687476,488.49897651405706,488.49897651405706,56,3.0
97,5.1,-9.3,0.4,-1.3,-17.1,1.7,-1.9,1.0,-0.1,0.0,1.0,0.2115279170760191,0.4745885785128241,0.6553371285966917,0.4114222643622346,115.7458205579987,419.4157623018827,282.5173131061274,112.41185390248596,115.7458205579987,-81.96194297873237,1.129718227207471,0.1039534300448785,10,2.670433440113894,-1.020080852654795,17.923004938774053,12.0,0.9756949881795972,0.426529285069483,6.13168691706975,-0.141228204327858,0.1205508448103565,-0.9826098351420252,0.5648591136037355,1.691641082072901,-1.713546376087692,412.37673808194927,204.71294122796616,830.2179266719436,830.2179266719436,97,5.1
136,6.6,-9.3,0.6,-4.2,-17.1,1.7,-4.0,1.0,-0.2,0.0,1.0,0.5759794883251792,0.555903809134479,0.5643373217119881,0.3669251654115686,125.996721128326,361.1758858956724,303.8759206024471,120.7910464685937,125.996721128326,-57.8655609018291,1.264073243562378,1.0,10,2.670433440113894,-1.020080852654795,17.923004938774053,12.0,0.4036852967673612,0.6530668578940295,6.25842480945434,-0.188895678612211,0.1394289758790687,-0.972048344109976,0.632036621781189,1.71068106119743,-1.7627316119734506,412.37673808194927,204.71294122796616,830.2179266719436,830.2179266719436,136,6.6
152,7.2,-16.4,2.2,-0.4,-17.2,1.7,-4.0,0.8,0.0,0.5,0.0804759838532466,0.1369426450329325,0.7324400692325554,0.672258063179689,0.3215768918811664,162.22536907845603,430.2451604350009,325.6430918970401,154.150310768372,162.22536907845603,-81.96038416324387,1.411218029146799,0.0340034725314963,10,2.595167067599476,-1.10885556416095,17.219375207171225,12.0,0.961729271944168,0.7704265897618101,5.480543086654631,-0.1361198163046089,0.15660684616023,-0.9782360100430496,0.7056090145733995,1.728050491759931,-1.709056781526598,413.4414612930663,200.07459960025287,864.1428519312964,864.1428519312964,152,7.2
169,7.8,-14.4,2.1,-0.4,-17.2,1.7,-3.9,0.7,0.1,0.7,0.1019109702365825,0.4033338965823005,0.3814252750726472,0.6113173620563926,0.4414127517379287,157.8638792289124,391.2431117160913,268.1218791657942,154.46803026832902,157.8638792289124,-70.09787435896328,1.3802965104160383,0.3237449772678036,10,2.595167067599476,-1.10885556416095,17.219375207171225,12.0,0.6132678290196285,0.2573683010201608,5.4632913456837535,-0.1651582698816539,0.1138519887650926,-0.979673655123956,0.6901482552080193,1.684895724910275,-1.7378108949140645,413.4414612930663,200.07459960025287,864.1428519312964,864.1428519312964,169,7.8
203,8.8,-15.6,3.5,-2.5,-17.2,1.7,-4.0,0.7,0.3,0.6,0.0752879649646314,0.3672691800603622,0.2719830152237921,0.6244958378468164,0.4935721252678958,157.4655146851471,399.6773362219625,243.08537987141,155.39556233509748,157.4655146851471,-80.80033362167876,1.3675074088141927,0.2786217821123538,10,2.595167067599476,-1.10885556416095,17.219375207171225,12.0,0.6836929147898267,0.0350649331397083,5.427949828575301,-0.1592895127341374,0.0953267081083882,-0.9826187815496604,0.6837537044070964,1.6662680036796644,-1.7315054470239366,413.4414612930663,200.07459960025287,864.1428519312964,864.1428519312964,203,8.8
264,11.3,-15.5,2.4,-4.3,-17.0,1.8,-4.1,0.8,0.5,-0.3,1.0,0.3502865074323371,0.4510346153054392,0.6235552551831581,0.4152413963858845,120.72274686019654,399.0753633172212,280.6841297347754,115.8066991678529,120.72274686019654,-75.2788538414901,7.024467873774816e-08,1.0,12,2.0331052217112964,-2.2001623028439505,11.620059274535546,12.0,4.588050472875693e-08,2.4492447625590333e-08,3.642984829355101e-07,-0.1694254313192326,0.1833468606113665,-0.9683382425197552,3.5122339368874074e-08,1.7551862783560517,-1.7440081640508212,428.47838274141566,122.6081179506055,1280.5442423696031,1280.5442423696031,264,11.3
265,11.3,-15.5,2.4,-4.3,-16.9,1.8,-4.1,0.8,0.5,-0.3,1.0,0.3502865074323371,0.4510346153054392,0.6235552551831581,0.4152413963858845,120.72274686019654,399.0753633172212,280.6841297347754,115.8066991678529,120.72274686019654,-75.2788538414901,7.024467873774816e-08,1.0,12,2.0331052217112964,-2.2001623028439505,11.620059274535546,12.0,4.588050472875693e-08,2.4492447625590333e-08,3.642984829355101e-07,-0.1694254313192326,0.1833468606113665,-0.9683382425197552,3.5122339368874074e-08,1.7551862783560517,-1.7440081640508212,428.47838274141566,122.6081179506055,1280.5442423696031,1280.5442423696031,265,11.3
267,11.4,-15.5,2.3,-4.3,-16.9,1.8,-4.2,0.8,0.5,-0.3,1.0,0.3441194920550778,0.4487670454080292,0.6250706610587036,0.4164013301577314,119.8616210361557,400.0452230775703,280.1273615242889,114.99571332243282,119.8616210361557,-75.58257348187311,6.970180510349012e-08,1.0,12,2.0331052217112964,-2.2001623028439505,11.620059274535546,12.0,4.6437707457158695e-08,2.4146151744730563e-08,3.6413542403579413e-07,-0.169425431272799,0.1833468605825085,-0.9683382425333434,3.485090255174506e-08,1.7551862783266958,-1.7440081640019114,428.47838274141566,122.6081179506055,1280.5442423696031,1280.5442423696031,267,11.4
