index,time,L_x,L_y,L_z,C_x,C_y,C_z,F_x,F_y,F_z,confidence,gaze_norm_pos_x,gaze_norm_pos_y,norm_pos_x,norm_pos_y,diameter,ellipse_center_x,ellipse_center_y,ellipse_axis_a,ellipse_axis_b,ellipse_angle,diameter_3d,model_confidence,model_id,sphere_center_x,sphere_center_y,sphere_center_z,sphere_radius,circle_3d_center_x,circle_3d_center_y,circle_3d_center_z,circle_3d_normal_x,circle_3d_normal_y,circle_3d_normal_z,circle_3d_radius,theta,phi,projected_sphere_center_x,projected_sphere_center_y,projected_sphere_axis_a,projected_sphere_axis_b,index.1,time.1
2,0.063,-15.5,2.1,-4.1,-19.8,2.0,-4.2,1.0,0.0,0.0,0.919444683,0.492942585,0.496425718,0.62341359,0.544387238,103.5536896,398.9846978,218.6941257,96.22937798,103.5536896,78.41140115,7.85e-08,1.0,44,0.603892754,-4.474871153,11.11804176,12,6.02e-08,-1.52e-08,4.75e-07,-0.050324391,0.372905928,-0.92650344,3.93e-08,1.952935214,-1.625059469,353.6762098,-9.542156413,1338.365184,1338.365184,2,0.063
84,2.899,-15.5,2.1,-4.0,-19.6,1.7,-4.2,1.0,0.0,0.1,0.998325306,0.550233084,0.604547018,0.611155598,0.495477408,107.7121383,391.1395826,242.1708442,98.96621038,107.7121383,82.47118692,8.32e-08,1.0,44,0.603892754,-4.474871153,11.11804176,12,5.51e-08,2.93e-09,4.82e-07,-0.050324392,0.37290593,-0.926503439,4.16e-08,1.952935215,-1.62505947,353.6762098,-9.542156413,1338.365184,1338.365184,84,2.899
85,2.964,-15.5,2.2,-4.0,-19.6,1.7,-4.1,1.0,0.0,0.1,1.0,0.552496505,0.611544586,0.610807791,0.492497199,106.9606465,390.916986,243.6013443,98.19718292,106.9606465,82.63547231,8.27e-08,1.0,44,0.603892754,-4.474871153,11.11804176,12,5.5e-08,4.02e-09,4.83e-07,-0.050324392,0.37290593,-0.926503439,4.13e-08,1.952935215,-1.62505947,353.6762098,-9.542156413,1338.365184,1338.365184,85,2.964
196,6.819,-15.5,2.5,-4.8,-17.9,1.7,-4.1,1.0,0.1,-0.2,0.915658083,0.612955264,0.762300922,0.596572756,0.428995927,133.9033127,381.8065636,274.0819551,120.8124238,133.9033127,86.29465322,1.06e-07,1.0,44,0.603892754,-4.474871153,11.11804176,12,4.88e-08,2.9e-08,4.93e-07,-0.050324392,0.372905932,-0.926503439,5.3e-08,1.952935218,-1.62505947,353.6762098,-9.542156413,1338.365184,1338.365184,196,6.819
210,7.347,-15.3,1.3,-4.4,-18.0,1.7,-4.1,1.0,0.1,-0.2,1.0,0.449656248,0.266174548,0.613113062,0.641811218,128.1474277,392.3923596,171.9306153,122.2735843,128.1474277,74.86077003,0.410402796,0.507657391,44,1.072303291,-4.763992137,13.0768158,12,0.232423017,-0.212470453,2.00530951,-0.069990023,0.379293474,-0.922625524,0.205201398,1.95982892,-1.646510932,370.8402084,14.12887278,1137.891688,1137.891688,210,7.347
211,7.38,-15.3,1.3,-4.4,-18.1,1.7,-4.0,1.0,0.1,-0.2,1.0,0.449456067,0.270704449,0.613836721,0.640060743,128.4216014,392.8555015,172.7708432,122.4515789,128.4216014,74.94479836,0.411451056,0.495576642,44,1.072303291,-4.763992137,13.0768158,12,0.234026712,-0.209822399,2.00627695,-0.069856382,0.379514145,-0.922544904,0.205725528,1.960067423,-1.64637349,370.8402084,14.12887278,1137.891688,1137.891688,211,7.38
218,7.612,-15.3,1.2,-4.6,-18.6,1.7,-4.0,1.0,0.1,-0.2,0.073459348,0.550782706,0.236804895,0.57160879,0.639448685,48.55599313,365.8296259,173.0646312,46.76474485,48.55599313,85.68274819,0.156989119,0.407334048,44,1.072303291,-4.763992137,13.0768158,12,0.148368058,-0.215942152,2.010579535,-0.076994603,0.379004165,-0.922186355,0.07849456,1.959516267,-1.654094504,370.8402084,14.12887278,1137.891688,1137.891688,218,7.612
220,7.676,-15.5,1.7,-4.8,-18.7,1.7,-3.9,1.0,0.1,-0.2,0.083148566,0.622896422,0.43730779,0.571005663,0.554635535,47.47386083,365.4436244,213.7749433,44.37699092,47.47386083,-89.87366444,0.157651226,0.378928298,44,1.072303291,-4.763992137,13.0768158,12,0.151077114,-0.08623082,2.06455484,-0.076768848,0.389813443,-0.917688413,0.078825613,1.971225328,-1.654256591,370.8402084,14.12887278,1137.891688,1137.891688,220,7.676
225,7.84,-9.3,1.9,-5.5,-19.1,1.7,-3.9,1.0,0.1,-0.2,1.0,0.455519125,0.367404321,0.624015711,0.600817783,104.9442723,399.3700547,191.6074641,98.69623397,104.9442723,77.21774542,0.33976565,0.227309087,44,1.072303291,-4.763992137,13.0768158,12,0.25844606,-0.153083614,2.027962509,-0.067821436,0.384242377,-0.920737774,0.169882825,1.965183389,-1.64432342,370.8402084,14.12887278,1137.891688,1137.891688,225,7.84
239,8.368,-12.4,2.0,-3.8,-19.1,1.7,-3.8,1.0,0.0,-0.1,1.0,0.403941996,0.448518698,0.651672783,0.574528111,110.9546563,417.0705813,204.2265067,102.7438149,110.9546563,75.29366588,0.360145346,0.505474862,44,1.072303291,-4.763992137,13.0768158,12,0.318243138,-0.111956447,2.040967066,-0.062838346,0.387669641,-0.919654061,0.180072673,1.968898514,-1.639018531,370.8402084,14.12887278,1137.891688,1137.891688,239,8.368
