index,time,L_x,L_y,L_z,C_x,C_y,C_z,F_x,F_y,F_z,confidence,gaze_norm_pos_x,gaze_norm_pos_y,norm_pos_x,norm_pos_y,diameter,ellipse_center_x,ellipse_center_y,ellipse_axis_a,ellipse_axis_b,ellipse_angle,diameter_3d,model_confidence,model_id,sphere_center_x,sphere_center_y,sphere_center_z,sphere_radius,circle_3d_center_x,circle_3d_center_y,circle_3d_center_z,circle_3d_normal_x,circle_3d_normal_y,circle_3d_normal_z,circle_3d_radius,theta,phi,projected_sphere_center_x,projected_sphere_center_y,projected_sphere_axis_a,projected_sphere_axis_b,index.1,time.1
1,0.0,-9.3,3.2,-4.0,-19.8,2.5,-4.2,1.0,0.0,0.0,1.0,0.450565756,0.629443142,0.550125318,0.619512539,108.0193135,352.0802035,182.6339814,102.2085495,108.0193135,59.66171179,4.064644905,0.706130302,7,0.042787014,-6.489804338,34.54408962,12,1.227445156,-2.106538033,23.43627428,0.098721512,0.365272192,-0.925651278,2.032322453,1.94472151,-1.464547085,320.7679447,123.5204883,430.7538616,430.7538616,1,0.0
4,0.2,-15.5,2.4,-4.0,-19.6,1.8,-4.1,1.0,0.1,0.0,1.0,0.44719872,0.631406462,0.551189594,0.619057148,106.6611054,352.76134,182.8525692,100.8247074,106.6611054,59.30960763,4.01406389,0.726543386,7,0.042787014,-6.489804338,34.54408962,12,1.253404382,-2.100247623,23.44155849,0.100884781,0.365796393,-0.925210927,2.007031945,1.945284683,-1.462185655,320.7679447,123.5204883,430.7538616,430.7538616,4,0.2
6,0.297,-15.5,2.4,-4.1,-19.8,1.7,-4.2,1.0,0.1,0.0,1.0,0.446060979,0.631534687,0.551558842,0.619095825,104.3857576,352.9976586,182.8340041,98.66036186,104.3857576,59.12414278,3.928268321,0.738072944,7,0.042787014,-6.489804338,34.54408962,12,1.261795237,-2.103510041,23.44118724,0.101584019,0.365524525,-0.925241865,1.964134161,1.944992587,-1.461442464,320.7679447,123.5204883,430.7538616,430.7538616,6,0.297
128,4.585,-15.5,2.5,-4.3,-20.1,1.7,-4.2,1.0,0.1,0.0,1.0,0.531453732,0.678426008,0.525549513,0.594867096,106.6660247,336.3516885,194.463794,99.96974818,106.6660247,76.7154037,3.833921022,0.852543356,7,0.003210862,-6.499435935,33.24546031,12,0.595268887,-1.575584605,22.31819371,0.049338169,0.410320944,-0.91060555,1.916960511,1.993602296,-1.51666754,320.0598799,118.7909615,447.579906,447.579906,128,4.585
190,6.757,-15.5,1.8,-4.1,-19.9,1.7,-4.2,1.0,0.0,0.0,1.0,0.523965075,0.475603178,0.530010972,0.671344171,110.824846,339.2070219,157.7547978,108.5974055,110.824846,51.08411346,3.883600573,0.735412768,7,0.003210862,-6.499435935,33.24546031,12,0.685277366,-2.844418147,21.83600676,0.056838875,0.304584816,-0.950787796,1.941800286,1.88029883,-1.511086567,320.0598799,118.7909615,447.579906,447.579906,190,6.757
192,6.824,-15.5,1.8,-4.1,-19.8,1.7,-4.1,1.0,0.0,0.0,1.0,0.520715643,0.47704329,0.531089543,0.6711102,110.3797179,339.8973078,157.867104,108.0840544,110.3797179,50.68964967,3.867777201,0.721664916,7,0.003210862,-6.499435935,33.24546031,12,0.709908969,-2.841190117,21.83854068,0.058891509,0.304853818,-0.950576635,1.9338886,1.880581264,-1.508921951,320.0598799,118.7909615,447.579906,447.579906,192,6.824
256,9.096,-15.5,1.8,-4.2,-18.1,1.7,-4.1,1.0,0.0,0.0,1.0,0.565528002,0.496782962,0.51447567,0.658060076,102.2619158,329.2644285,164.1311635,100.6610964,102.2619158,70.77939913,3.701849143,0.342118524,7,0.04117206,-6.495204396,33.8557272,12,0.339192654,-2.702643111,22.47470517,0.024835049,0.316046774,-0.948418503,1.850924572,1.892356105,-1.54461656,320.753984,121.0533089,439.512048,439.512048,256,9.096
257,9.133,-15.5,1.7,-4.2,-18.0,1.7,-4.2,1.0,0.0,0.0,1.0,0.567318594,0.494608981,0.513913633,0.658690012,102.3794392,328.904725,163.8287944,100.8281431,102.3794392,71.11390579,3.705674079,0.344014234,7,0.04117206,-6.495204396,33.8557272,12,0.325957647,-2.713141867,22.47087322,0.023732132,0.315171877,-0.948737832,1.852837039,1.891434083,-1.545787116,320.753984,121.0533089,439.512048,439.512048,257,9.133
263,9.328,-15.5,1.7,-4.2,-17.8,1.7,-4.2,1.0,0.0,0.0,1.0,0.563820319,0.485851406,0.515414826,0.662602525,102.5902078,329.8654889,161.9507878,101.1554694,102.5902078,67.08294447,3.708489839,0.326836421,7,0.04117206,-6.495204396,33.8557272,12,0.360869834,-2.779205928,22.45006419,0.026641481,0.309666539,-0.950471918,1.854244919,1.88563864,-1.542773924,320.753984,121.0533089,439.512048,439.512048,263,9.328
308,10.944,-15.5,1.7,-3.9,-17.8,1.7,-3.9,1.0,0.0,0.1,1.0,0.592190931,0.486359301,0.505464302,0.658636897,104.3573061,323.4971532,163.8542896,103.0003847,104.3573061,82.81737089,3.780033783,0.221828828,7,0.04117206,-6.495204396,33.8557272,12,0.127735219,-2.709975959,22.4686928,0.007213597,0.315435703,-0.948919534,1.890016892,1.89171209,-1.563194568,320.753984,121.0533089,439.512048,439.512048,308,10.944
766,27.06,-17.4,0.0,-4.7,-18.4,1.7,-3.9,1.0,-0.2,-0.1,0.021015312,0.864899612,-0.053881489,0.325163789,0.773177749,235.3685885,208.104825,108.8746803,218.8788296,235.3685885,-47.63977781,0.234714632,0.647600269,14,-0.161633612,-5.015792596,11.60099852,12,-0.115159742,-0.127059149,0.642069486,0.003872822,0.407394454,-0.913244086,0.117357316,1.990395526,-1.566555621,311.3617057,-28.06239182,1282.648212,1282.648212,766,27.06
785,27.684,-15.8,0.8,-4.3,-18.1,1.7,-3.9,1.0,-0.2,-0.1,1.0,0.551520273,0.397783527,0.525392002,0.700468402,94.7400416,336.2508816,143.7751672,92.05919428,94.7400416,74.40495039,0.099947263,0.607668682,14,-0.161633612,-5.015792596,11.60099852,12,0.017215119,-0.100203968,0.655451404,0.014904061,0.409632386,-0.912128926,0.049973631,1.992847377,-1.554457919,311.3617057,-28.06239182,1282.648212,1282.648212,785,27.684
786,27.717,-15.7,0.8,-4.3,-18.0,1.7,-4.0,1.0,-0.2,-0.1,1.0,0.550104714,0.396301959,0.526047339,0.701267277,95.30522217,336.6702971,143.391707,92.61631717,95.30522217,74.02774389,0.1005107,0.609370012,14,-0.161633612,-5.015792596,11.60099852,12,0.017654422,-0.100567173,0.655295485,0.014940669,0.409602119,-0.912141919,0.05025535,1.992814199,-1.554418027,311.3617057,-28.06239182,1282.648212,1282.648212,786,27.717
832,29.301,-16.0,0.8,-4.4,-17.5,1.7,-4.0,1.0,-0.3,-0.1,1.0,0.611000165,0.347531233,0.507571402,0.714561208,100.4441075,324.8456975,137.0106204,98.29936342,100.4441075,61.28802814,0.084701715,0.705070832,16,-0.755359426,-4.719945681,11.56735153,12,0.004293395,-0.085800129,0.524361779,0.063304402,0.386178796,-0.920249146,0.042350857,1.967281741,-1.502114025,279.5133905,-12.98499098,1286.379165,1286.379165,832,29.301
875,30.881,-15.5,0.8,-5.2,-17.5,1.7,-4.2,0.9,-0.3,-0.4,0.99,0.577555902,0.39026198,0.516259385,0.700443563,79.24831186,330.4060063,143.7870898,77.01231029,79.24831186,60.04455965,0.774535153,0.162900722,16,-0.773000351,-5.564979944,17.11659814,12,0.103653069,-0.93429267,6.080828385,0.073054452,0.385890606,-0.91964748,0.387267576,1.966969335,-1.491525338,292.0002647,38.42445698,869.3316204,869.3316204,875,30.881
902,31.772,-16.2,0.7,-4.9,-17.6,1.7,-4.2,0.9,-0.3,-0.3,0.218919749,0.630141584,0.319313849,0.503355519,0.72450734,60.11906076,322.1475321,132.2364769,59.10700539,60.11906076,55.53061438,0.582853889,0.27224065,16,-0.773000351,-5.564979944,17.11659814,12,0.021740335,-1.04278195,6.029754023,0.06622839,0.376849833,-0.923903677,0.291426944,1.95718936,-1.499235511,292.0002647,38.42445698,869.3316204,869.3316204,902,31.772
