index,time,L_x,L_y,L_z,C_x,C_y,C_z,F_x,F_y,F_z,confidence,gaze_norm_pos_x,gaze_norm_pos_y,left_gaze,norm_pos_x,norm_pos_y,method,ellipse_center_x,ellipse_center_y,ellipse_axis_a,ellipse_axis_b,ellipse_angle,diameter_3d,model_confidence,model_id,sphere_center_x,sphere_center_y,sphere_center_z,sphere_radius,circle_3d_center_x,circle_3d_center_y,circle_3d_center_z,circle_3d_normal_x,circle_3d_normal_y,circle_3d_normal_z,circle_3d_radius	theta,phi,projected_sphere_center_x,projected_sphere_center_y,projected_sphere_axis_a,projected_sphere_axis_b,index.1,time.1
1,0.0,-15.5,1.8,-4.1,-19.8,2.5,-4.2,1.0,-0.2,0.0,1.0,0.4682899740151214,0.6089684063685705,0.5487855104306344,0.6450273887180387,101.16672235857492,351.222726675606,170.38685341534142,96.43854283681934,101.16672235857492,67.8275757589801,3.6129030419875,0.4133874836592999,17,0.5821648747894916,-7.141782051004571,33.26086007816892,12.0,1.1245979596928115,-2.440934712859927,22.233267382940248,0.0452027570752766,0.3917372781787203,-0.9189660579357224,1.8064515209937495,1.9733153498138412,-1.5216472281404374,330.85186076130344,106.8734103322502,447.3726766243976,447.3726766243976,1,0.0
75,2.672,-16.2,0.4,-5.0,-19.8,1.7,-4.1,1.0,-0.1,0.0,0.0592118611798412,0.8660401441994043,0.0505924421896395,0.4097479053523173,0.8534314857369776,100.9345057366193,262.2386594254831,70.35288684625078,92.5016229144156,100.9345057366193,16.628690824514763,3.850558434182164,1.0,17,0.7358737836954264,-7.27106099411488,35.77592640275076,12.0,-2.289312713807748,-6.605938975057628,24.182572299856734,-0.2520988747919312,0.0554268349214377,-0.9661128419078352,1.925279217091082,1.6262515807997635,-1.826046010049295,332.75275839834256,113.9918635341164,415.9221436361156,415.9221436361156,75,2.672
82,2.936,-15.3,1.1,-4.2,-19.8,1.7,-4.2,1.0,-0.1,0.0,0.1589419771248834,0.5014047850344987,0.4108485251147091,0.5358831434932855,0.7160946478965948,100.8402664465775,342.9652118357027,136.2745690096345,99.42521340637212,100.8402664465775,27.535423775633525,3.898373400401072,1.0,17,0.7358737836954264,-7.27106099411488,35.77592640275076,12.0,0.8990637226712546,-4.010471100924608,24.228549099127108,0.013599161581319,0.2717158244325227,-0.9622814419686372,1.949186700200536,1.8459718122859852,-1.5566650594147389,332.75275839834256,113.9918635341164,415.9221436361156,415.9221436361156,82,2.936
89,3.1,-15.5,1.1,-4.1,-19.8,1.7,-4.1,1.0,-0.1,0.0,0.2564891217150044,0.4686087668018039,0.4157843042684725,0.5477424089237476,0.715599262861498,101.54472513403609,350.5551417111985,136.51235382648093,99.49640680453834,101.54472513403609,30.522395012109563,3.9194512149009486,1.0,17,0.7358737836954264,-7.27106099411488,35.77592640275076,12.0,1.1998576030162664,-4.002373247738563,24.239011761821068,0.0386653182767366,0.2723906455313597,-0.9614095534108072,1.9597256074504743,1.8466730838196328,-1.530600665997859,332.75275839834256,113.9918635341164,415.9221436361156,415.9221436361156,89,3.1
139,4.716,-9.3,0.5,-4.1,-18.7,1.7,-4.1,1.0,-0.2,0.0,0.4628401886102765,0.5008055760818042,0.5942105084517556,0.5367312655727392,0.6493781103965903,102.85501834787912,343.50800996655306,168.29850700963664,99.32268285564996,102.85501834787912,73.74173573856794,4.078450667892025,1.0,17,0.7358737836954264,-7.27106099411488,35.77592640275076,12.0,0.9362054388103358,-2.789091836815964,24.646154630563323,0.0166943045929091,0.3734974297749096,-0.9274809810156192,2.0392253339460127,1.9535727793808648,-1.552798650965055,332.75275839834256,113.9918635341164,415.9221436361156,415.9221436361156,139,4.716
179,6.068,-15.5,2.5,-4.8,-18.7,1.7,-4.2,1.0,0.0,-0.1,1.0,0.6639796028561413,0.7900466373787537,0.4888552292326446,0.580800764097432,111.50369028587176,312.86734670889257,201.2156332332327,101.91435261243852,111.50369028587176,89.23896518426169,6.071102622708546,0.0754290397073309,21,-0.5897346542005892,-7.565797711406362,44.41684657415906,12.0,-0.3838958114586762,-1.9979232092286676,33.78875154735307,0.0171532368951594,0.4639895418481412,-0.8856745855671655,3.035551311354273,2.053289919727681,-1.5514313219196147,311.76808995222353,134.39154413539643,335.008023929752,335.008023929752,179,6.068
374,12.724,-15.3,1.3,-3.6,-18.7,1.7,-4.1,1.0,-0.1,0.0,0.2690322211739454,0.2466015624657274,0.4779336693277303,0.6247844087167762,0.7077595159006778,140.13659484533417,399.8620215787368,140.27543236767465,119.76048566661076,140.13659484533417,9.720149070593848,7.066489208436869,1.0,21,-0.4394473596806971,-7.357923605529157,42.590230511880506,12.0,4.221480462236473,-5.031159367697834,31.77996131909776,0.3884106518264308,0.1938970198192769,-0.9008557660652288,3.5332446042184347,1.765929334165739,-1.1637218670463436,313.6028201837032,132.88828492826457,349.37589726942747,349.37589726942747,374,12.724
956,32.408,-10.3,0.0,-4.2,-17.4,1.7,-4.1,1.0,-0.3,0.0,0.328192927677858,0.5669095904789323,0.6696644526601231,0.514976444646698,0.622064988911242,98.8526024693073,329.5849245738867,181.40880532260385,93.1424634982466,98.8526024693073,82.61740461925672,1.922149293420358,0.286152930921657,24,-0.0923109427410429,-6.2491511049481145,22.906845990928293,12.0,0.1879460776779815,-1.1093985317726114,12.066901365191423,0.0233547517015853,0.4283127144312919,-0.9033287188114058,0.961074646710179,2.013421046227311,-1.5449479843322995,317.5014986994669,70.8595741813507,649.5874641970731,649.5874641970731,956,32.408
1405,47.477,-15.5,2.7,-4.3,-17.5,1.7,-4.1,1.0,0.1,-0.1,0.0175919305017463,90.96292499134805,3.6149024979560473,-1.1378593374867418,-1.7146500990983156,9318.581913221991,-728.2299759915147,1303.0320475671915,1697.899344954915,9318.581913221991,64.62739587196253,1.3714311406933375,1.0,29,-1.6013698686852806,-4.053791333033327,11.185974743799193,12.0,0.2968589229400016,0.5577200178674078,0.271274082985883,0.1581857326354402,0.3842926125750612,-0.9095583884011093,0.6857155703466687,1.9652378022461627,-1.3986037353617098,231.2415912493234,15.312327799246331,1330.237224811235,1330.237224811235,1405,47.477
1423,47.968,-9.0,3.2,-7.9,-17.5,1.7,-4.2,0.9,0.1,-0.3,0.0048888349337599,48.08078214349702,18.92436517219952,0.4509754775475562,-2.9858869210935186,950.0855662754165,288.624305630436,1913.225722124889,591.638458462231,950.0855662754165,31.281674050801463,1.130334794419905,1.0,29,-1.6013698686852806,-4.053791333033327,11.185974743799193,12.0,0.5561383938094342,-0.0017392036438392,0.0987734901925296,0.1797923552078929,0.3376710107824572,-0.9239334378005551,0.5651673972099525,1.9152378022461627,-1.3786037353617098,231.2415912493234,15.312327799246331,1330.237224811235,1330.237224811235,1423,47.968
